,votes,user_id,review_id,text,business_id,stars,date,type
0,"{u'funny': 0, u'useful': 0, u'cool': 0}",PUFPaY9KxDAcGqfsorJp3Q,Ya85v4eqdd6k9Od8HbQjyA,old large Italian frozen other fresh Overall good,5UmKMjUEUNdYWqANhGckJw,4,01-08-12,review
1,"{u'funny': 0, u'useful': 0, u'cool': 0}",Iu6AxdBYGR4A0wspR9BYHA,KPvLNJ21_4wbYNctrOwWdQ,Excellent great,5UmKMjUEUNdYWqANhGckJw,5,13-02-14,review
2,"{u'funny': 1, u'useful': 1, u'cool': 0}",auESFwWvW42h6alXgFxAXQ,fFSoGV46Yxuwbr3fHNuZig,little other pleasant fast fresh other daily good banana,5UmKMjUEUNdYWqANhGckJw,5,31-10-15,review
3,"{u'funny': 0, u'useful': 0, u'cool': 0}",qiczib2fO_1VBG8IoCGvVg,pVMIt0a_QsKtuDfWVfSk2A,Italian delicious Friendly counter clean neat good Pre-formed fresh,5UmKMjUEUNdYWqANhGckJw,3,26-12-15,review
4,"{u'funny': 0, u'useful': 1, u'cool': 0}",qEE5EvV-f-s7yHC0Z4ydJQ,AEyiQ_Y44isJmNbMTyoMKQ,only awesome only decent general Minimal shredded special atrocious cheese little disappointed huge,5UmKMjUEUNdYWqANhGckJw,2,08-04-16,review
5,"{u'funny': 0, u'useful': 0, u'cool': 0}",jBoH6qKGO7wdYyg_YjBcQA,V-bqYx62zpxfH2oFkzXPzw,great bad bad first last whole Italian popular italian free cheese italian certain right financial next thin Italian Italian red financial fresh sauted fresh financial whole substantial whole non-chain small average,5UmKMjUEUNdYWqANhGckJw,1,10-04-16,review
6,"{u'funny': 0, u'useful': 0, u'cool': 0}",bWrodc7hN_T4q2r-rolrOA,3saY_LVFUpkAfd9t86VNdw,good toasted previous inside updated,5UmKMjUEUNdYWqANhGckJw,4,11-05-16,review
7,"{u'funny': 0, u'useful': 0, u'cool': 0}",uK8tzraOp4M5u3uYrqIBXg,Di3exaUCFNw1V4kSNW5pgA,great fantastic popular seasoned whole nice nice,UsFtqoBl7naz8AVUBZMjQQ,5,08-11-13,review
8,"{u'funny': 0, u'useful': 0, u'cool': 0}",I_47G-R2_egp7ME5u_ltew,0Lua2-PbqEQMjD9r89-asw,past great whole nice wet garlic bold enough thin thin garlic average other regular,UsFtqoBl7naz8AVUBZMjQQ,3,29-03-14,review
9,"{u'funny': 0, u'useful': 0, u'cool': 0}",PP_xoMSYlGr2pb67BbqBdA,7N9j5YbBHBW6qguE5DAeyA,much hot hot whole good hot extra same fish good large decent,UsFtqoBl7naz8AVUBZMjQQ,1,29-10-14,review
10,"{u'funny': 0, u'useful': 0, u'cool': 0}",JPPhyFE-UE453zA6K0TVgw,mjCJR33jvUNt41iJCxDU_g,cheap Good Good great light fish plentiful good chicken,UsFtqoBl7naz8AVUBZMjQQ,4,28-11-14,review
11,"{u'funny': 0, u'useful': 0, u'cool': 0}",pl78RcFgklDns8atQegwVA,kG7wxkBu62X6yxUuZ5IQ6Q,overhyped regular okay good terrible,UsFtqoBl7naz8AVUBZMjQQ,2,24-02-16,review
