,votes,user_id,review_id,text,business_id,stars,date,type
0,"{u'funny': 0, u'useful': 0, u'cool': 0}",PUFPaY9KxDAcGqfsorJp3Q,Ya85v4eqdd6k9Od8HbQjyA,"mr hoagie institution  walking does like throwback 30 years ago, old fashioned menu board, booths 70s, large selection food  speciality italian hoagie, voted best area year year  usually order burger, patties obviously cooked frozen, ingredients fresh  overall, good alternative subway, road ",5UmKMjUEUNdYWqANhGckJw,4,01-08-12,review
1,"{u'funny': 0, u'useful': 0, u'cool': 0}",Iu6AxdBYGR4A0wspR9BYHA,KPvLNJ21_4wbYNctrOwWdQ,excellent food  superb customer service  miss mario machines used great place steeped tradition ,5UmKMjUEUNdYWqANhGckJw,5,13-02-14,review
2,"{u'funny': 1, u'useful': 1, u'cool': 0}",auESFwWvW42h6alXgFxAXQ,fFSoGV46Yxuwbr3fHNuZig,yes place little dated opened weekend  staff pleasant fast make order  spot fresh veggies hoggies food  daily specials ice cream really good  banana split piled toppings  win pennysaver awards years ,5UmKMjUEUNdYWqANhGckJw,5,31-10-15,review
3,"{u'funny': 0, u'useful': 0, u'cool': 0}",qiczib2fO_1VBG8IoCGvVg,pVMIt0a_QsKtuDfWVfSk2A,"pros: italian hoagie delicious   friendly counter employee  restaurant clean neat  cons: pizza good   pre-formed crust, fresh dough   price failure pizza cheap   guess says   hoagie, pass pizza ",5UmKMjUEUNdYWqANhGckJw,3,26-12-15,review
4,"{u'funny': 0, u'useful': 1, u'cool': 0}",qEE5EvV-f-s7yHC0Z4ydJQ,AEyiQ_Y44isJmNbMTyoMKQ,"reason place possibly win best hoagie there's competition  hoagies onion rings cost $25 i'm thinking reader choice awards $10 12"" hoagie awesome  sadly mistaken  reason didn't star bread & dressing fairly decent  hoagies, italian general run  minimal meat ton shredded lettuce  meat subway  really special & worthy $10 price tag  second, steak hoagie, atrocious  cheese?!?!? add cheese $1 steak hoagie $11  little amounts meat thought eating lettuce & onion hoagie  thoroughly disappointed hoagie, possibly worst value hoagie i've eaten  i'm say eating subway better, huge price difference better doing  check pasquales road, better hoagie & price ",5UmKMjUEUNdYWqANhGckJw,2,08-04-16,review
5,"{u'funny': 0, u'useful': 0, u'cool': 0}",jBoH6qKGO7wdYyg_YjBcQA,V-bqYx62zpxfH2oFkzXPzw,"normally, reviews establishment unless rating exceptionally great exceptionally bad   felt sucker punched mugged left mr  hoagie, writing bad review   trip paid $24 59 hoagies   1) italian (ordered woman working told popular hoagie) ordered lettuce onions tomato, italian dressing come free hoagie)   pay $1 add cheese hoagie   traveling eating hoagie right away, asked italian   told charge dressing   passed principle   kidding  just saved money declining tomato   going pay dressing   point, certain right place appears financial trouble   pales comparison happened   opened hoagie microscopically slices meat hoagie   ham, salami, bologna   bologna!?!?!?!?    hell puts disgusting bologna italian hoagie?  disqualifies hoagie italian   red flags indicating place financial trouble blinding view   area hoagie slice bologna, ham salami 2)  steak hoagie came lettuce, tomato, onions, dressing   ordered lettuce, tomato, onions, dressing   asked mayo   pay declined   kidding  just saved money passing lettuce, tomato, fresh onions, dressing!  paid $3 add sauted mushrooms, onions, cheese     canned mushrooms cooked cold) onions crunchy/undercooked   news flash:  need serve fresh mushrooms sauted (canned mushrooms sign place financial trouble)   literally open hoagie steak taste   hoagie 50% mushrooms, 30%onions, 10% cheese 10% steak personally 10 hoagies substantial quality ingredients toppings $24 59 paid hoagies   intentionally patronize non-chain restaurants support small businesses   case,    hoagie bun better average )  wake going lose business ",5UmKMjUEUNdYWqANhGckJw,1,10-04-16,review
6,"{u'funny': 0, u'useful': 0, u'cool': 0}",bWrodc7hN_T4q2r-rolrOA,3saY_LVFUpkAfd9t86VNdw,"like place lot  good toasted hoagie actually don't like bun exploding meat, previous poster mentioned maybe wouldn't like place inside badly needs updated  staff friendly ",5UmKMjUEUNdYWqANhGckJw,4,11-05-16,review
7,"{u'funny': 0, u'useful': 0, u'cool': 0}",uK8tzraOp4M5u3uYrqIBXg,Di3exaUCFNw1V4kSNW5pgA,"food great  best thing wings  wings simply fantastic!!  ""wet cajun"" best & popular   like seasoned salt wings   wing night monday & wednesday night, $0 75 wings!

the dining area nice  family friendly! bar nice   place truly yinzer's dream!!  ""pittsburgh dad"" love place n'at!!",UsFtqoBl7naz8AVUBZMjQQ,5,08-11-13,review
8,"{u'funny': 0, u'useful': 0, u'cool': 0}",I_47G-R2_egp7ME5u_ltew,0Lua2-PbqEQMjD9r89-asw,"checked place past monday wing night  heard wings great decided finally time check  wings wings crispy, nice change pace  got wet cajun sauce garlic butter wings  cajun did bold flavor sauce  sauce garlic butter, expected  better average, don't like seeing sauce resting boat  definitely come try place sample items menu, probably regular stop wings anytime soon ",UsFtqoBl7naz8AVUBZMjQQ,3,29-03-14,review
9,"{u'funny': 0, u'useful': 0, u'cool': 0}",PP_xoMSYlGr2pb67BbqBdA,7N9j5YbBHBW6qguE5DAeyA,"wing sauce like water  pretty lot butter hot sauce (franks red hot maybe)   wings good size crispy, $1 wing sauce better  hot extra hot flavor/heat   fish sandwich good large portion, sides decent ",UsFtqoBl7naz8AVUBZMjQQ,1,29-10-14,review
